Age,RiskSeeking,DecisionQuality,Speed,NegAffect,Numeracy
30,0.28,0.59,45,1.75,0.8
22,0.51,0.63,50,2.5,0.6
22,0.46,0.77,48,1.25,0.9
21,0.41,0.68,64,1.25,0.9
28,0.48,0.56,54,4,0.8
21,0.45,0.66,69,6,0.8
25,0.53,0.72,53,1,0.9
22,0.29,0.63,60,1.5,0.9
23,0.39,0.6,62,1.75,0.8
25,0.47,0.6,69,1.5,0.6
23,0.49,0.74,55,2,0.7
25,0.41,0.7,69,2.25,0.9
22,0.38,0.62,71,1.25,0.8
28,0.4,0.72,48,3.75,0.9
24,0.39,0.65,65,1.75,0.9
23,0.43,0.57,63,3.75,0.9
22,0.36,0.57,65,2,0.9
21,0.49,0.71,51,1,0.9
26,0.4,0.63,61,3.25,0.9
21,0.47,0.71,79,3.25,0.9
24,0.45,0.72,48,2.25,0.9
27,0.45,0.69,52,2,0.8
22,0.51,0.63,71,1.5,0.6
23,0.44,0.63,54,1.25,0.9
20,0.41,0.64,44,4.25,0.6
27,0.6,0.61,67,1,0.7
23,0.25,0.53,50,4,0.7
23,0.47,0.64,,1,0.6
25,0.42,0.63,83,1,0.8
24,0.52,0.73,67,1.25,0.9
19,0.5,0.74,56,1.75,0.7
23,0.36,0.64,64,2,0.9
20,0.48,0.73,70,1.25,0.9
20,0.48,0.72,57,1.75,0.6
29,0.5,0.76,63,1,0.7
25,0.57,0.65,54,3,0.7
22,0.48,0.73,52,2.5,0.6
27,0.52,0.61,59,1,0.7
18,0.49,0.61,86,1.5,0.8
25,0.51,0.65,47,3.75,0.6
27,0.4,0.62,68,3.25,0.8
27,0.34,0.64,37,3.5,0.6
24,0.45,0.66,52,2.5,0.8
20,0.39,0.73,59,1.25,0.7
23,0.33,0.53,36,2.5,0.8
18,0.62,0.63,64,2.75,0.5
20,0.5,0.7,60,2,0.9
19,0.4,0.54,61,1,0.6
22,0.36,0.62,53,1.75,0.8
26,0.48,0.6,70,1,0.6
30,0.44,0.65,56,2,0.8
30,0.39,0.63,54,4,0.9
23,0.41,0.54,57,2.25,0.5
23,0.43,0.61,69,1.5,0.9
30,0.48,0.79,80,2,0.9
23,0.53,0.79,61,3,0.9
19,0.55,0.69,68,2.5,0.9
25,0.51,0.66,57,1.5,0.9
23,0.41,0.65,57,2.25,0.9
21,0.62,0.88,63,2,0.5
66,0.51,0.76,61,1.25,0.8
66,0.51,0.81,70,1.25,0.6
66,0.59,0.91,37,1.25,0.8
70,0.56,0.6,54,2,0.3
82,0.58,0.73,35,2.5,0.7
65,0.58,0.93,39,1,0.9
71,0.45,0.75,33,1.25,0.8
71,0.32,0.66,47,1.5,0.8
67,0.42,0.7,52,1.25,0.8
80,0.55,0.55,27,1,0.4
70,0.51,0.76,33,1.25,0.7
64,0.64,0.75,52,1.25,0.7
72,0.53,0.75,38,1,0.9
72,0.43,0.67,34,1.25,0.4
69,0.5,0.68,47,1,0.7
68,0.54,0.81,56,1,0.9
80,0.53,0.66,41,1,0.6
65,0.57,0.69,22,1.75,0.7
82,0.4,0.69,33,3.25,0.6
66,0.38,0.66,59,1,0.8
67,0.5,0.64,38,1,0.6
66,0.35,0.49,37,1,0.44
69,0.58,0.64,46,1.25,0.8
65,0.38,0.59,38,1,0.8
74,0.42,0.66,42,1,0.22
70,0.47,0.62,41,2,0.8
75,0.51,0.55,28,1,0.9
86,0.59,0.67,26,1,0.6
85,0.54,0.58,21,2,0.3
72,0.4,0.56,31,1.75,0.8
68,0.46,0.61,42,1,0.6
63,0.3,0.6,51,2.5,0.9
68,0.53,0.51,35,1,0.7
67,0.52,0.71,44,1.75,0.7
65,0.29,0.5,39,3.25,0.8
69,0.39,0.63,29,1.5,0.89
72,0.54,0.61,45,2.25,0.6
77,0.43,0.6,32,2.25,0.6
71,0.62,0.73,45,1.25,0.9
69,0.46,0.43,39,2.75,0.4
64,0.59,0.62,44,1.25,0.6
64,0.53,0.69,49,1,0.6
68,0.48,0.6,29,2,0.6
81,0.51,0.69,30,1.75,0.9
,0.51,0.8,,,
65,0.52,0.6,43,3,0.7
65,0.58,0.67,36,1,0.5
66,0.6,0.53,35,1,0.5
73,0.38,0.57,32,1.5,0.33
77,0.74,0.69,31,1,0.9
68,0.53,0.68,34,1.25,0.7
66,0.4,0.59,45,1,0.6
72,0.61,0.76,56,1,0.8
84,0.51,0.48,25,1,0.6
71,0.31,0.44,39,1.75,0.9
74,0.47,0.51,26,1,0.11
71,0.54,0.66,29,1.75,0.7
,0.41,0.6,,,
65,0.33,0.53,51,2.25,0.4
88,0.47,0.41,36,2.75,0.3
79,0.51,0.6,40,1,0.6
80,0.46,0.6,31,1.5,
